Item,Mean_nocontext,YMin_nocontext,YMax_nocontext,Mean_context,CILow,CIHigh,YMin_context,YMax_context
15843:18,4.5,3.1,5.7,4.3,1.1999999999999997,1.1000000000000005,3.1,5.4
158476:38,4.2,3,5.5,5.2,0.7999999999999998,0.7999999999999998,4.4,6
158511:44,2,1.4,2.7,3.2,1.2000000000000002,1.2999999999999998,2,4.5
158550:31,2.7,1.6,4,1.9,0.5,0.5,1.4,2.4
15870:42,4.1,3.0975,5.1,4.9,1.3000000000000003,1.1999999999999993,3.6,6.1
158966:17,4.5,3.3,5.5,6,0.5,0.5,5.5,6.5
15903:5,5,3.7,6,5.5,0.9000000000000004,0.7999999999999998,4.6,6.3
159110:25,4.4,3.3,5.5,5.1,0.7024999999999997,0.8000000000000007,4.3975,5.9
159124:81,3.4,2.3,4.6,4.1,1.2999999999999998,1.4000000000000004,2.8,5.5
159138:19,5.2,4.4,6.002499999999998,4.4,1.1000000000000005,1.1999999999999993,3.3,5.6
159146:13,5,3.6975000000000002,6.1,5,1,0.7999999999999998,4,5.8
159233:9,5.4,4.6,6.2,6.8,0.2999999999999998,0.20000000000000018,6.5,7
159263:34,3.2,2.1,4.2,4.2,1.4024999999999999,1.3999999999999995,2.7975000000000003,5.6
159281:32,5,3.9,6,2.2,0.5000000000000002,0.6999999999999997,1.7,2.9
159358:7,4.7,3.4,5.7,4.4,1.3000000000000003,1.1999999999999993,3.1,5.6
159588:39,5.7,4.6,6.6,6,0.7999999999999998,0.7000000000000002,5.2,6.7
159592:14,5.2,4,6.102499999999997,5.8,0.5024999999999995,0.5,5.2975,6.3
160087:28,2.2,1.4,3.2,2.6,0.8,1.1999999999999997,1.8,3.8
160087:35,2.7,1.9,3.6,2.5,1.1,1.202499999999998,1.4,3.702499999999998
16039:6,5.6,4.8,6.4,5.6,1.3999999999999995,1.1000000000000005,4.2,6.7
160477:87,3.6,2.5975,4.6,5.1,1.1999999999999997,1.1000000000000005,3.9,6.2
16054:41,4,2.7,5.202499999999998,3.1,1,0.8999999999999999,2.1,4
160595:7,4.5,3.6,5.3,5.8,0.7000000000000002,0.6000000000000005,5.1,6.4
160988:9,3.5,2.3,4.7,3,1.2,1.202499999999998,1.8,4.202499999999998
160993:10,4.2,2.9,5.5,4.3,0.8999999999999999,0.9000000000000004,3.4,5.2
160994:25,3.7,2.4,4.902499999999998,3.3,1.0999999999999996,1.1000000000000005,2.2,4.4
161001:72,4.2,3,5.4,3.1,1.2000000000000002,1.1999999999999997,1.9,4.3
161018:14,4.6,3.3,5.702499999999998,5.7,0.9000000000000004,0.7999999999999998,4.8,6.5
161045:13,5,3.6,6.2,6.4,0.40000000000000036,0.39999999999999947,6,6.8
161106:35,5.6,4.8,6.3,6,0.7000000000000002,0.7000000000000002,5.3,6.7
161183:38,4.1,3.1,5.3,3.7,1.3000000000000003,1.2999999999999998,2.4,5
161185:14,2.9,1.9,4.2,2.1,0.6000000000000001,0.7999999999999998,1.5,2.9
161281:21,4.9,3.5,6,5.2,0.9000000000000004,0.8999999999999995,4.3,6.1
161373:22,5.8,5.1,6.5,6.2,1,0.5999999999999996,5.2,6.8
