tgrep.id,MeanPredicted,MeanEmpirical
121641:28,0.52003061201975,0.5311111111111111
12168:38,0.4039558915848743,0.18222222222222223
12200:93,0.4758237101725738,0.3688888888888889
122138:110,0.519969552763055,0.3566666666666667
122265:57,0.5907982905292487,0.5644444444444444
122735:37,0.5027508423750664,0.7022222222222222
122789:26,0.4792430285474935,0.5933333333333334
122798:42,0.47933461743253597,0.47888888888888886
122805:19,0.49050846140772003,0.41000000000000003
122921:24,0.4883408577950477,0.5588888888888889
122984:94,0.52003061201975,0.45
123090:99,0.5907982905292487,0.48777777777777775
123350:27,0.5907982905292487,0.8188888888888889
123561:35,0.5047963274743488,0.5622222222222222
123608:48,0.45170530377805096,0.7822222222222223
123645:19,0.5462860923985976,0.4766666666666667
123672:38,0.4758237101725738,0.4577777777777778
1239:63,0.5462860923985976,0.5688888888888889
124212:97,0.4883103281667002,0.4955555555555556
124492:25,0.5907982905292487,0.5155555555555555
124597:121,0.5462860923985976,0.4255555555555556
124658:85,0.5047963274743488,0.27111111111111114
125273:30,0.4553688591797506,0.5122222222222222
125370:17,0.52003061201975,0.4822222222222222
1256:174,0.4758237101725738,0.40444444444444444
125651:119,0.4538729073907232,0.5977777777777777
12588:15,0.45228536671665337,0.5522222222222222
12595:51,0.5047963274743488,0.7955555555555556
125982:22,0.49050846140772003,0.5988888888888889
126099:53,0.5164281158747452,0.3566666666666667
126179:58,0.4039558915848743,0.4622222222222222
126265:70,0.4249613493456432,0.4211111111111111
126305:39,0.39513390245013835,0.34555555555555556
126314:48,0.52003061201975,0.6722222222222223
126348:129,0.5907982905292487,0.8211111111111111
126359:33,0.519969552763055,0.4111111111111111
1265:65,0.45826917387276284,0.5722222222222222
126911:45,0.5164281158747452,0.7533333333333333
127119:72,0.4314272032651343,0.42526315789473684
127140:45,0.4553688591797506,0.4
127327:49,0.39513390245013835,0.17333333333333334
127492:21,0.5027508423750664,0.4866666666666667
127532:70,0.519969552763055,0.6711111111111111
127545:21,0.5417371777748206,0.6644444444444444
127555:91,0.4553688591797506,0.4888888888888889
127793:67,0.40920806111833463,0.38222222222222224
128305:35,0.47399193247172394,0.35888888888888887
128452:34,0.4883408577950477,0.5677777777777778
128489:81,0.519969552763055,0.5977777777777777
128512:74,0.4902947540092875,0.5933333333333334
128736:29,0.43750902659646473,0.40888888888888886
128768:129,0.4076205204442648,0.6711111111111111
128793:82,0.4582081146160678,0.04888888888888889
128813:122,0.5417371777748206,0.6633333333333333
128817:104,0.41549716455791913,0.4177777777777778
129330:26,0.39513390245013835,0.2677777777777778
129768:34,0.4811358655050384,0.4388888888888889
129802:73,0.43989033760756946,0.5711111111111111
129837:27,0.47399193247172394,0.7366666666666667
129876:44,0.53835029713002,0.68875
130040:62,0.45976512566179023,0.62
130233:71,0.4039558915848743,0.3188888888888889
13033:62,0.4314272032651343,0.2894736842105263
130353:76,0.5047963274743488,0.5733333333333334
13047:33,0.4538729073907232,0.44333333333333336
130589:20,0.5907982905292487,0.4677777777777778
130722:82,0.5417371777748206,0.5055555555555555
130777:64,0.52003061201975,0.31666666666666665
131265:36,0.4758237101725738,0.48444444444444446
131688:137,0.5417371777748206,0.5388888888888889
131692:34,0.45826917387276284,0.4122222222222222
132029:43,0.519969552763055,0.4444444444444444
132428:45,0.5164281158747452,0.6955555555555556
132536:65,0.5027508423750664,0.39111111111111113
132601:54,0.49090534657623747,0.3711111111111111
132615:33,0.47399193247172394,0.5822222222222222
132821:30,0.49050846140772003,0.6455555555555555
132975:27,0.5907982905292487,0.7588888888888888
13311:70,0.5027508423750664,0.8011111111111111
133392:61,0.5462860923985976,0.5266666666666666
133405:39,0.45228536671665337,0.6577777777777778
133415:190,0.43094515650175275,0.36
133422:57,0.4249613493456432,0.23333333333333334
13356:76,0.4883103281667002,0.6944444444444444
13362:27,0.4314272032651343,0.48368421052631577
13389:122,0.4538729073907232,0.35888888888888887
134049:25,0.4431264782124042,0.2942105263157895
134089:60,0.4902947540092875,0.2544444444444444
13410:53,0.4883103281667002,0.43333333333333335
13420:76,0.45976512566179023,0.3688888888888889
134333:22,0.5417371777748206,0.6111111111111112
13468:42,0.4758237101725738,0.38666666666666666
134703:78,0.4576891109341604,0.44555555555555554
134876:74,0.43750902659646473,0.4088888888888889
134989:25,0.45228536671665337,0.5133333333333333
135320:83,0.4249613493456432,0.48777777777777775
135677:7,0.41549716455791913,0.37333333333333335
13591:93,0.46275702923984496,0.5244444444444445
135991:11,0.45826917387276284,0.7155555555555555
136285:25,0.47399193247172394,0.39555555555555555
136298:23,0.4576891109341604,0.2477777777777778
136335:21,0.4431264782124042,0.3268421052631579
136406:56,0.4576891109341604,0.8922222222222222
136418:78,0.5027508423750664,0.19666666666666666
13665:45,0.5462860923985976,0.4766666666666667
